game_pk,pitcher,outs,hits,earned_runs,walks,hit_batters,strikeouts_official,home_runs_allowed
824756,689266,2,1,0,0,0,0,0
824756,471911,12,5,2,0,0,2,1
824756,693821,10,9,5,1,0,1,0
824591,685126,2,3,2,1,0,1,1
824591,691799,6,2,0,0,0,1,0
824591,622554,3,0,0,1,0,0,0
824591,607200,15,6,1,0,1,4,1
824591,656457,1,1,0,1,0,0,0
824591,699823,3,0,0,0,0,0,0
824591,689266,5,0,0,2,0,1,0
824591,663158,3,0,0,0,0,0,0
824591,471911,5,4,1,1,0,0,0
824591,628452,5,1,1,0,0,2,1
824591,656550,11,4,3,2,1,2,1
824913,471911,12,4,2,0,1,2,0
824913,702275,15,5,5,3,0,4,3
824913,664141,3,0,0,0,0,0,0
824913,676254,3,1,0,0,0,2,0
824913,656529,3,1,0,0,0,1,0
824913,663941,2,0,0,0,0,1,0
824913,687931,15,6,2,2,0,2,0
824913,657424,1,4,3,0,0,1,1
823286,673513,7,3,1,1,0,3,1
823286,695243,6,0,0,0,0,3,0
823286,688158,3,0,0,1,0,0,0
823286,593974,3,0,0,0,0,2,0
823286,656288,2,4,4,1,1,2,0
823286,670970,3,0,0,0,0,1,0
823286,606996,6,2,1,1,0,3,0
823286,669276,4,0,0,0,0,0,0
823286,471911,5,2,1,0,0,0,1
823286,702275,15,5,4,4,0,7,0
