game_date,game_pk,team,opponent,runs,plate_appearances,hits,home_runs,strikeouts,walks,iso,k_rate,bb_rate,hr_rate,runs_last14,k_rate_last14,bb_rate_last14,hr_rate_last14,iso_last14
2026-06-02,824675,ATH,CHC,2,67,10,1,14,3,0.04477611940298507,0.208955223880597,0.04477611940298507,0.014925373134328358,3.7857142857142856,0.20460443851439344,0.1019570918403416,0.029882692164475606,0.13200533605494172
2026-06-03,824671,ATH,CHC,5,79,19,3,15,4,0.21518987341772153,0.189873417721519,0.05063291139240506,0.0379746835443038,3.857142857142857,0.21048822032864947,0.09701795389534686,0.02914047198148459,0.127066198109947
2026-06-04,824672,ATH,CHC,6,73,18,6,18,4,0.3013698630136986,0.2465753424657534,0.0547945205479452,0.0821917808219178,4.142857142857143,0.2069930380123827,0.09530410001825852,0.030786851296482835,0.13817251102997613
2026-06-05,824186,ATH,HOU,1,68,11,2,23,9,0.1323529411764706,0.3382352941176471,0.1323529411764706,0.029411764705882353,3.5714285714285716,0.21349445136311113,0.09366243878755619,0.0342767404028103,0.14620686632460542
2026-06-06,824184,ATH,HOU,2,81,20,3,22,10,0.1728395061728395,0.2716049382716049,0.12345679012345678,0.037037037037037035,3.2142857142857144,0.22234799277967773,0.09461281893961701,0.03297622019472706,0.14120486552428527
2026-06-07,824183,ATH,HOU,5,72,12,2,15,6,0.1111111111111111,0.20833333333333334,0.08333333333333333,0.027777777777777776,3.142857142857143,0.22251757628259458,0.0970209046810361,0.034705971924478794,0.1498875408736273
2026-06-08,824998,ATH,MIL,14,116,34,11,35,11,0.31896551724137934,0.3017241379310345,0.09482758620689655,0.09482758620689655,3.2857142857142856,0.2243200578385973,0.09492499589498646,0.03367199025669431,0.1467576504197932
2026-06-09,824999,ATH,MIL,7,77,18,6,21,7,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.07792207792207792,4.285714285714286,0.2285248432010181,0.0874126806240505,0.04044538927147263,0.1675000853247897
2026-06-10,824996,ATH,MIL,4,72,20,5,14,5,0.2638888888888889,0.19444444444444445,0.06944444444444445,0.06944444444444445,4.428571428571429,0.2321323468085217,0.08420601075071396,0.04424758354985738,0.17816226265363366
2026-06-12,824997,ATH,COL,6,75,17,3,18,5,0.17333333333333334,0.24,0.06666666666666667,0.04,4.571428571428571,0.22722424321620757,0.08634677933885096,0.044508652889874094,0.17915432614569715
2026-06-13,824995,ATH,COL,7,77,19,2,13,7,0.19480519480519481,0.16883116883116883,0.09090909090909091,0.025974025974025976,4.928571428571429,0.23181883781080218,0.08821293120500284,0.04640054478176599,0.18670902370039472
2026-06-14,824994,ATH,COL,9,98,38,8,11,7,0.37755102040816324,0.11224489795918367,0.07142857142857142,0.08163265306122448,5.357142857142857,0.22869963558445708,0.08934929484136647,0.04647011806562499,0.1916951090436229
2026-06-15,824993,ATH,PIT,11,80,22,4,14,5,0.2,0.175,0.0625,0.05,5.857142857142857,0.22767553697575504,0.08902638086564961,0.04868438532768351,0.2051006520926689
2026-06-16,824991,ATH,PIT,5,80,19,4,22,9,0.1875,0.275,0.1125,0.05,6.214285714285714,0.22231839411861218,0.08221247109121352,0.049436265026931644,0.2099878701377817
2026-06-17,824992,ATH,PIT,4,85,22,4,22,7,0.2,0.25882352941176473,0.08235294117647059,0.047058823529411764,6.0,0.22882496226311133,0.08203800475295407,0.05136565747356546,0.21188647440707561
2026-06-18,824989,ATH,LAA,5,71,12,2,16,7,0.11267605633802817,0.22535211267605634,0.09859154929577464,0.028169014084507043,6.142857142857143,0.2323869840867662,0.08472206345106018,0.05366090393035714,0.22297389444971955
2026-06-19,824990,ATH,LAA,11,92,23,9,22,14,0.34782608695652173,0.2391304347826087,0.15217391304347827,0.09782608695652174,6.142857142857143,0.23492117658351885,0.08814768044415801,0.05296049896894307,0.21565147894402717
2026-06-20,824988,ATH,LAA,0,79,17,1,20,6,0.13924050632911392,0.25316455696202533,0.0759493670886076,0.012658227848101266,6.5,0.23438939746329424,0.09510335133669609,0.05407723512141479,0.2189697806542288
2026-06-21,824987,ATH,LAA,7,78,17,4,18,8,0.16666666666666666,0.23076923076923078,0.10256410256410256,0.05128205128205128,6.428571428571429,0.22831291623789268,0.09107452461613444,0.052880553917287576,0.21946174959370332
2026-06-23,823210,ATH,SF,1,70,12,1,18,9,0.05714285714285714,0.2571428571428571,0.12857142857142856,0.014285714285714285,6.785714285714286,0.2253960799877231,0.08958218979046628,0.053898054934788595,0.21902083248611956
2026-06-24,823208,ATH,SF,1,66,9,3,20,6,0.16666666666666666,0.30303030303030304,0.09090909090909091,0.045454545454545456,6.5,0.22888247454554622,0.09281348230747308,0.05293433611392691,0.21516595720267287
2026-06-25,823209,ATH,SF,9,80,20,2,19,7,0.125,0.2375,0.0875,0.025,5.571428571428571,0.22897577205263683,0.09253358978620126,0.04940769034590183,0.20428746787590765
2026-06-26,824014,ATH,LAA,9,78,19,1,21,6,0.07692307692307693,0.2692307692307692,0.07692307692307693,0.01282051282051282,5.714285714285714,0.2264595382864031,0.09229008329269475,0.04562754192289627,0.19373551982395962
2026-06-27,824015,ATH,LAA,2,73,14,1,21,6,0.0958904109589041,0.2876712328767123,0.0821917808219178,0.0136986301369863,6.071428571428571,0.23180141862828343,0.09282427132688278,0.04158297537832972,0.18038081896925878
2026-06-28,824011,ATH,LAA,1,67,12,1,14,4,0.04477611940298507,0.208955223880597,0.05970149253731343,0.014925373134328358,5.785714285714286,0.2352065066909057,0.09393320805225787,0.03970430610240017,0.17484918165679955
2026-06-29,824986,ATH,LAD,4,86,28,4,17,5,0.16279069767441862,0.19767441860465115,0.05813953488372093,0.046511627906976744,5.357142857142857,0.23807251062300774,0.09170409388284519,0.038915116613850345,0.16413281912807026
2026-06-30,824984,ATH,LAD,3,79,21,3,18,6,0.1518987341772152,0.22784810126582278,0.0759493670886076,0.0379746835443038,5.0,0.24417461924054112,0.09075487698678444,0.036406471959975505,0.14879279607565993
2026-07-01,824985,ATH,LAD,7,74,17,4,16,8,0.21621621621621623,0.21621621621621623,0.10810810810810811,0.05405405405405406,4.428571428571429,0.24794948361667132,0.09171554606454213,0.03554752078456863,0.14535699137403243
2026-07-03,824982,ATH,MIA,5,86,20,6,20,11,0.23255813953488372,0.23255813953488372,0.12790697674418605,0.06976744186046512,4.571428571428571,0.24375064191782964,0.09140183950083557,0.035837096074143926,0.14740814967519075
2026-07-04,824983,ATH,MIA,2,80,20,3,16,7,0.1625,0.2,0.0875,0.0375,4.642857142857143,0.24187454264090955,0.09465569918424381,0.03745914024064773,0.14973373107053958
2026-07-05,824980,ATH,MIA,8,86,23,5,14,10,0.2558139534883721,0.16279069767441862,0.11627906976744186,0.05813953488372093,4.428571428571429,0.24006367744976267,0.09386344566311704,0.03812563923461152,0.15329258418925185
2026-07-07,824254,ATH,DET,2,75,15,2,23,6,0.12,0.30666666666666664,0.08,0.02666666666666667,4.214285714285714,0.23461083908489194,0.0912995282862573,0.03529088551512575,0.1467202889415269
2026-07-08,824253,ATH,DET,1,74,14,2,20,8,0.10810810810810811,0.2702702702702703,0.10810810810810811,0.02702702702702703,4.357142857142857,0.23843241834950918,0.09158885920849962,0.03629148828788042,0.14534596706087588
2026-07-09,824251,ATH,DET,1,68,11,3,20,4,0.1323529411764706,0.29411764705882354,0.058823529411764705,0.04411764705882353,3.9285714285714284,0.241253921171012,0.09198485960450001,0.03455898655537868,0.1411632128781217
2026-07-10,824575,ATH,CWS,1,74,20,3,20,5,0.24324324324324326,0.2702702702702703,0.06756756756756757,0.04054054054054054,3.9285714285714284,0.24389497759358103,0.08700286680738119,0.03668983889631506,0.14653536173766551
2026-07-11,824576,ATH,CWS,0,66,9,0,17,6,0.09090909090909091,0.25757575757575757,0.09090909090909091,0.0,3.9285714285714284,0.2415549752535787,0.08533561514012951,0.03633883854531471,0.152005117207421
2026-07-12,824574,ATH,CWS,1,71,15,3,17,3,0.15492957746478872,0.23943661971830985,0.04225352112676056,0.04225352112676056,3.2857142857142856,0.2429889579375614,0.08557912163363601,0.03455312425960042,0.14957005227235604
2026-07-17,824981,ATH,WSH,4,90,30,6,27,7,0.3,0.3,0.07777777777777778,0.06666666666666667,2.7142857142857144,0.2408608044009571,0.08310272479104198,0.03665548199576097,0.1551419451681926
2026-07-18,824979,ATH,WSH,15,82,17,3,17,11,0.15853658536585366,0.2073170731707317,0.13414634146341464,0.036585365853658534,2.857142857142857,0.24174143062404913,0.08278743885931769,0.04043891317645243,0.1697212015282709
2026-07-19,824978,ATH,WSH,2,79,18,2,16,7,0.13924050632911392,0.20253164556962025,0.08860759493670886,0.02531645569620253,3.857142857142857,0.24162441985905872,0.08810492806832491,0.04198605551354744,0.1778469490970472
2026-07-20,825058,ATH,AZ,5,78,22,3,14,3,0.14102564102564102,0.1794871794871795,0.038461538461538464,0.038461538461538464,3.7142857142857144,0.24197136464227081,0.09028121807210976,0.040472114641349276,0.1761647925723826
2026-07-21,825056,ATH,AZ,5,85,18,3,17,10,0.16470588235294117,0.2,0.11764705882352941,0.03529411764705882,3.857142857142857,0.23851701308665343,0.08760351602731911,0.040506889992580335,0.17538814306155584
2026-07-22,825055,ATH,AZ,5,85,27,6,13,11,0.29411764705882354,0.15294117647058825,0.12941176470588237,0.07058823529411765,3.7142857142857144,0.23735871192835228,0.0882848696498492,0.03916689453493782,0.17170883349989335
2026-07-24,823680,ATH,MIN,2,69,7,0,11,10,0.043478260869565216,0.15942028985507245,0.14492753623188406,0.0,3.7142857142857144,0.2316717859951883,0.08839235450425609,0.03922552263734157,0.17610594118017478
2026-07-25,823679,ATH,MIN,0,66,9,0,18,5,0.06060606060606061,0.2727272727272727,0.07575757575757576,0.0,3.7142857142857144,0.22877323527055066,0.0924943213779621,0.03654695120877014,0.16760438838514374
2026-07-26,823678,ATH,MIN,8,78,21,1,12,5,0.16666666666666666,0.15384615384615385,0.0641025641025641,0.01282051282051282,3.142857142857143,0.23662584777432594,0.08959992894868594,0.03239412728850436,0.15366096746497865
2026-07-27,824977,ATH,BOS,2,71,11,3,19,5,0.16901408450704225,0.2676056338028169,0.07042253521126761,0.04225352112676056,3.5714285714285716,0.22571009685857502,0.08846439781315481,0.03140511629949337,0.15699430079831195
2026-07-28,824976,ATH,BOS,4,72,17,2,16,8,0.125,0.2222222222222222,0.1111111111111111,0.027777777777777776,3.642857142857143,0.22551976568232832,0.08577257117766621,0.032492723020902906,0.16134472768395008
2026-07-29,824973,ATH,BOS,2,87,20,4,26,6,0.16091954022988506,0.2988505747126437,0.06896551724137931,0.04597701149425287,3.857142857142857,0.22038437819399967,0.08950739844190524,0.03132558950082821,0.1608195175999165
2026-07-30,824974,ATH,BOS,4,74,17,2,17,4,0.16216216216216217,0.22972972972972974,0.05405405405405406,0.02702702702702703,3.9285714285714284,0.22242582851131207,0.08960725199003464,0.0317139088546648,0.15493925309896234
2026-07-31,824975,ATH,DET,1,81,17,3,14,10,0.16049382716049382,0.1728395061728395,0.12345679012345678,0.037037037037037035,4.214285714285714,0.22043682652231006,0.08697474935753201,0.03364441078516674,0.16002875818846743
2026-08-01,824972,ATH,DET,6,87,30,4,20,5,0.1724137931034483,0.22988505747126436,0.05747126436781609,0.04597701149425287,4.214285714285714,0.21567988984049077,0.09277498285729602,0.033271804778757914,0.16042620459530352
2026-08-02,824971,ATH,DET,0,84,19,1,14,11,0.08333333333333333,0.16666666666666666,0.13095238095238096,0.011904761904761904,4.357142857142857,0.2106716796598668,0.09132451761372733,0.03179397226644264,0.15131290410269266
2026-08-04,824484,ATH,CIN,4,70,13,0,16,8,0.04285714285714286,0.22857142857142856,0.11428571428571428,0.0,3.2857142857142856,0.20776807919529072,0.09109637757722491,0.0300310719843786,0.14594124324322694
2026-08-05,824482,ATH,CIN,2,63,10,2,18,3,0.1111111111111111,0.2857142857142857,0.047619047619047616,0.031746031746031744,3.4285714285714284,0.2096280636954199,0.09293052895929675,0.02822275372036413,0.1390567172809433
2026-08-06,824481,ATH,CIN,5,73,17,5,19,7,0.2191780821917808,0.2602739726027397,0.0958904109589041,0.0684931506849315,3.2142857142857144,0.21721571414021318,0.09358463675626169,0.02774307466925651,0.13691996514419114
2026-08-07,824727,ATH,BOS,1,73,17,2,21,5,0.1643835616438356,0.2876712328767123,0.0684931506849315,0.0273972602739726,3.2142857142857144,0.22152099789755172,0.09203059048021701,0.030114434171961697,0.14081083656125112
2026-08-08,824726,ATH,BOS,7,82,18,2,22,8,0.15853658536585366,0.2682926829268293,0.0975609756097561,0.024390243902439025,2.9285714285714284,0.23114457335513203,0.08767926090729196,0.027029364527665627,0.13154411617446626
2026-08-09,824724,ATH,BOS,4,75,15,0,15,4,0.06666666666666667,0.2,0.05333333333333334,0.0,3.2857142857142856,0.23892117286025752,0.08429593514856852,0.028771524806411267,0.13976256792420116
2026-08-10,824969,ATH,TB,6,81,22,3,14,5,0.16049382716049382,0.1728395061728395,0.06172839506172839,0.037037037037037035,3.5714285714285716,0.23372636766545232,0.08269420354683694,0.028771524806411267,0.1401954683571016
2026-08-11,824970,ATH,TB,4,77,19,7,11,4,0.2857142857142857,0.14285714285714285,0.05194805194805195,0.09090909090909091,3.4285714285714284,0.23508303568878702,0.0825246200439201,0.030501276536162997,0.1397545512495178
2026-08-12,824967,ATH,TB,4,79,22,3,11,4,0.189873417721519,0.13924050632911392,0.05063291139240506,0.0379746835443038,3.5714285714285716,0.22617242919266745,0.08120501409654754,0.033976674377758025,0.14809027990717807
2026-08-14,824968,ATH,TEX,8,79,13,3,13,13,0.17721518987341772,0.16455696202531644,0.16455696202531644,0.0379746835443038,3.5714285714285716,0.22024516377173112,0.07688514268806854,0.03470502478965274,0.15272409545871515
2026-08-15,824966,ATH,TEX,3,74,19,2,17,4,0.16216216216216217,0.22972972972972974,0.05405405405405406,0.02702702702702703,4.0,0.21065276286549348,0.08371310302977833,0.034133429936084946,0.1538880704332532
2026-08-16,824965,ATH,TEX,5,73,20,4,17,5,0.1917808219178082,0.2328767123287671,0.0684931506849315,0.0547945205479452,3.9285714285714284,0.21065276286549348,0.08371310302977833,0.034133429936084946,0.1538880704332532
